RptDt;TckrSymb;ISIN;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-08-11;CART12;BRRPTADBS017;1374,181436;1484,721414;1389,972861;1484,721414;;;7;41
2020-08-11;CART22;BRRPTADBS025;1394,020854;1506,291472;1450,156163;1506,291472;;;2;68
2020-08-11;CBAN12;BRCRBDDBS025;856,74;1139,52;1104,248451;1139,52;;;64;3125
2020-08-11;CCRDB1;BRCCRODBS0E0;989,229111;989,229111;989,229111;989,229111;;;2;80
2020-08-11;CEAD11;BRCEADDBS009;1090,174368;1090,174368;1090,174368;1090,174368;;;5;132
2020-08-11;CEAR26;BRCOCEDBS0B1;1199,634237;1217,14973;1210,780991;1213,17;;;4;2516
2020-08-11;CEEBB2;BRCEEBDBS0F5;9283,066198;9283,625204;9283,345701;9283,066198;;;2;322
2020-08-11;CELU13;BRRANIDBS023;1004,124673;1030,669821;1021,821438;1030,669821;;;6;524
2020-08-11;CEMA17;BREQMADBS018;1229,093511;1234,950336;1232,719728;1234,435909;;;25;3009
2020-08-11;CEMA27;BREQMADBS026;1274,63;1290,110569;1281,513062;1274,63;;;6;493
2020-08-11;CEPE27;BRCEPEDBS096;1,218649;1,22443;1,221539;1,22443;;;6;441018
2020-08-11;CGEP12;BRCGEPDBS000;1174,98931;1174,98931;1174,98931;1174,98931;;;2;7138
2020-08-11;CLCD13;BRCLCDDBS026;798,665613;798,723138;798,694375;798,665613;;;2;520
2020-08-11;CLPP13;BREQPADBS011;1253,544277;1254,020512;1253,674159;1253,544277;;;11;16
2020-08-11;CLPP23;BREQPADBS029;1332,06321;1332,06321;1332,06321;1332,06321;;;2;2
2020-08-11;CMDT23;BRCMGDDBS033;507,647222;516,293325;508,223628;507,647222;;;15;58
2020-08-11;CMDT33;BRCMGDDBS041;1549,978884;1549,978884;1549,978884;1549,978884;;;1;15
2020-08-11;CMGD17;BRCMGDDBS082;949,728065;950,064344;949,840158;949,728065;;;3;2310
