RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-06-26;EQTL3;BREQTLACNOR0;CASH;;;22,30;;;;54;16500
2020-06-26;EQTL3F;BREQTLACNOR0;ODD LOT;;;22,39;;;;14;387
2020-06-26;EZTC3;BREZTCACNOR0;CASH;;;37,50;;;;42;7500
2020-06-26;EZTC3F;BREZTCACNOR0;ODD LOT;;;37,56;;;;16;311
2020-06-26;FLRY3;BRFLRYACNOR5;CASH;;;24,29;;;;37;4500
2020-06-26;FLRY3F;BRFLRYACNOR5;ODD LOT;;;24,32;;;;103;1018
2020-06-26;GGBR4;BRGGBRACNPR8;CASH;;;15,10;;;;218;87500
2020-06-26;GGBR4F;BRGGBRACNPR8;ODD LOT;;;15,13;;;;30;357
2020-06-26;GNDI3;BRGNDIACNOR2;CASH;;;66,09;;;;63;12800
2020-06-26;GNDI3F;BRGNDIACNOR2;ODD LOT;;;65,90;;;;49;1123
2020-06-26;GOAU4;BRGOAUACNPR8;CASH;;;6,94;;;;161;54500
2020-06-26;GOAU4F;BRGOAUACNPR8;ODD LOT;;;6,96;;;;17;319
2020-06-26;GOLL4;BRGOLLACNPR4;CASH;;;18,32;;;;367;180000
2020-06-26;GOLL4F;BRGOLLACNPR4;ODD LOT;;;18,35;;;;148;3025
2020-06-26;HAPV3;BRHAPVACNOR4;CASH;;;60,81;;;;48;7400
2020-06-26;HAPV3F;BRHAPVACNOR4;ODD LOT;;;60,38;;;;29;473
2020-06-26;HGTX3;BRHGTXACNOR9;CASH;;;13,93;;;;77;24600
2020-06-26;HGTX3F;BRHGTXACNOR9;ODD LOT;;;13,95;;;;53;769
2020-06-26;HYPE3;BRHYPEACNOR0;CASH;;;33,49;;;;46;6300
2020-06-26;HYPE3F;BRHYPEACNOR0;ODD LOT;;;33,64;;;;35;380
2020-06-26;IGTA3;BRIGTAACNOR5;CASH;;;33,35;;;;39;8700
2020-06-26;IGTA3F;BRIGTAACNOR5;ODD LOT;;;33,38;;;;13;212
2020-06-26;IRBR3;BRIRBRACNOR4;CASH;;;11,86;;;;937;1010400
2020-06-26;IRBR3F;BRIRBRACNOR4;ODD LOT;;;11,86;;;;238;4903
2020-06-26;ITSA4;BRITSAACNPR7;CASH;;;9,63;;;;773;595800
2020-06-26;ITSA4F;BRITSAACNPR7;ODD LOT;;;9,64;;;;520;8713
2020-06-26;ITUB4;BRITUBACNPR1;CASH;;;25,60;;;;331;218500
2020-06-26;ITUB4F;BRITUBACNPR1;ODD LOT;;;25,63;;;;130;1785
2020-06-26;JBSS3;BRJBSSACNOR8;CASH;;;21,12;;;;225;126700
2020-06-26;JBSS3F;BRJBSSACNOR8;ODD LOT;;;21,14;;;;53;803
2020-06-26;KLBN11;BRKLBNCDAM18;CASH;;;20,46;;;;80;18800
2020-06-26;KLBN11F;BRKLBNCDAM18;ODD LOT;;;20,45;;;;16;287
2020-06-26;LAME4;BRLAMEACNPR6;CASH;;;30,93;;;;110;25400
2020-06-26;LAME4F;BRLAMEACNPR6;ODD LOT;;;30,94;;;;37;686
2020-06-26;LCAM3;BRLCAMACNOR3;CASH;;;16,65;;;;29;14300
2020-06-26;LCAM3F;BRLCAMACNOR3;ODD LOT;;;16,71;;;;8;180
2020-06-26;LIGT3;BRLIGTACNOR2;CASH;;;15,91;;;;7;2200
2020-06-26;LIGT3F;BRLIGTACNOR2;ODD LOT;;;15,85;;;;1;5
2020-06-26;LINX3;BRLINXACNOR0;CASH;;;23,86;;;;23;3800
2020-06-26;LINX3F;BRLINXACNOR0;ODD LOT;;;23,79;;;;11;128
2020-06-26;LREN3;BRLRENACNOR1;CASH;;;40,62;;;;102;52200
2020-06-26;LREN3F;BRLRENACNOR1;ODD LOT;;;40,70;;;;39;492
2020-06-26;MDIA3;BRMDIAACNOR7;CASH;;;39,45;;;;16;3000
2020-06-26;MDIA3F;BRMDIAACNOR7;ODD LOT;;;39,74;;;;3;35
2020-06-26;MGLU3;BRMGLUACNOR2;CASH;;;69,18;;;;150;61500
2020-06-26;MGLU3F;BRMGLUACNOR2;ODD LOT;;;69,13;;;;91;838
2020-06-26;MOVI3;BRMOVIACNOR0;CASH;;;12,74;;;;37;14000
2020-06-26;MOVI3F;BRMOVIACNOR0;ODD LOT;;;12,76;;;;8;134
2020-06-26;MRFG3;BRMRFGACNOR0;CASH;;;12,50;;;;115;47300
2020-06-26;MRFG3F;BRMRFGACNOR0;ODD LOT;;;12,50;;;;27;414
2020-06-26;MRVE3;BRMRVEACNOR2;CASH;;;17,29;;;;37;6600
2020-06-26;MRVE3F;BRMRVEACNOR2;ODD LOT;;;17,36;;;;7;44
2020-06-26;MULT3;BRMULTACNOR5;CASH;;;20,27;;;;63;14900
2020-06-26;MULT3F;BRMULTACNOR5;ODD LOT;;;20,30;;;;31;461
2020-06-26;MYPK3;BRMYPKACNOR7;CASH;;;14,31;;;;8;1700
2020-06-26;MYPK3F;BRMYPKACNOR7;ODD LOT;;;14,30;;;;3;31
2020-06-26;NEOE3;BRNEOEACNOR3;CASH;;;19,14;;;;11;4100
2020-06-26;NEOE3F;BRNEOEACNOR3;ODD LOT;;;19,15;;;;9;87
2020-06-26;NTCO3;BRNTCOACNOR5;CASH;;;39,70;;;;105;26900
2020-06-26;NTCO3F;BRNTCOACNOR5;ODD LOT;;;39,74;;;;30;580
2020-06-26;PCAR3;BRPCARACNOR3;CASH;;;68,63;;;;52;11100
2020-06-26;PCAR3F;BRPCARACNOR3;ODD LOT;;;68,81;;;;7;134
2020-06-26;PETR3;BRPETRACNOR9;CASH;;;21,82;;;;93;87200
2020-06-26;PETR3F;BRPETRACNOR9;ODD LOT;;;21,85;;;;7;103
2020-06-26;PETR4;BRPETRACNPR6;CASH;;;20,83;;;;577;1031900
2020-06-26;PETR4F;BRPETRACNPR6;ODD LOT;;;20,85;;;;248;3592
2020-06-26;PRIO3;BRPRIOACNOR1;CASH;;;34,27;;;;73;30400
2020-06-26;PRIO3F;BRPRIOACNOR1;ODD LOT;;;34,34;;;;9;267
2020-06-26;PSSA3;BRPSSAACNOR7;CASH;;;51,99;;;;12;2200
2020-06-26;PSSA3F;BRPSSAACNOR7;ODD LOT;;;52,13;;;;16;129
2020-06-26;QUAL3;BRQUALACNOR6;CASH;;;27,67;;;;47;9000
2020-06-26;QUAL3F;BRQUALACNOR6;ODD LOT;;;27,76;;;;15;223
2020-06-26;RADL3;BRRADLACNOR0;CASH;;;108,62;;;;36;5900
2020-06-26;RADL3F;BRRADLACNOR0;ODD LOT;;;108,64;;;;21;158
2020-06-26;RAIL3;BRRAILACNOR9;CASH;;;22,65;;;;70;21100
2020-06-26;RAIL3F;BRRAILACNOR9;ODD LOT;;;22,69;;;;22;170
2020-06-26;RAPT4;BRRAPTACNPR4;CASH;;;9,49;;;;26;11200
2020-06-26;RAPT4F;BRRAPTACNPR4;ODD LOT;;;9,51;;;;6;220
2020-06-26;RENT3;BRRENTACNOR4;CASH;;;40,11;;;;109;43900
2020-06-26;RENT3F;BRRENTACNOR4;ODD LOT;;;40,08;;;;50;511
2020-06-26;SANB11;BRSANBCDAM13;CASH;;;28,31;;;;79;19100
2020-06-26;SANB11F;BRSANBCDAM13;ODD LOT;;;28,31;;;;15;223
2020-06-26;SAPR11;BRSAPRCDAM13;CASH;;;30,56;;;;43;10900
2020-06-26;SAPR11F;BRSAPRCDAM13;ODD LOT;;;30,59;;;;94;1314
2020-06-26;SBSP3;BRSBSPACNOR5;CASH;;;56,22;;;;77;19600
2020-06-26;SBSP3F;BRSBSPACNOR5;ODD LOT;;;56,28;;;;20;295
2020-06-26;SMLS3;BRSMLSACNOR1;CASH;;;14,56;;;;55;29600
2020-06-26;SMLS3F;BRSMLSACNOR1;ODD LOT;;;14,62;;;;46;684
2020-06-26;SULA11;BRSULACDAM12;CASH;;;44,98;;;;78;19400
2020-06-26;SULA11F;BRSULACDAM12;ODD LOT;;;45,13;;;;34;305
2020-06-26;SUZB3;BRSUZBACNOR0;CASH;;;37,74;;;;106;35300
2020-06-26;SUZB3F;BRSUZBACNOR0;ODD LOT;;;37,76;;;;24;268
2020-06-26;TAEE11;BRTAEECDAM10;CASH;;;28,09;;;;72;9900
2020-06-26;TAEE11F;BRTAEECDAM10;ODD LOT;;;28,12;;;;53;457
2020-06-26;TCSA3;BRTCSAACNOR3;CASH;;;12,04;;;;109;56500
2020-06-26;TCSA3F;BRTCSAACNOR3;ODD LOT;;;12,16;;;;57;971
2020-06-26;TIMP3;BRTIMPACNOR1;CASH;;;13,95;;;;68;20600
2020-06-26;TIMP3F;BRTIMPACNOR1;ODD LOT;;;13,98;;;;7;138
2020-06-26;TOTS3;BRTOTSACNOR8;CASH;;;22,25;;;;68;10600
2020-06-26;TOTS3F;BRTOTSACNOR8;ODD LOT;;;22,27;;;;60;687
2020-06-26;TRPL4;BRTRPLACNPR1;CASH;;;20,29;;;;22;4800
2020-06-26;TRPL4F;BRTRPLACNPR1;ODD LOT;;;20,28;;;;26;313
2020-06-26;UGPA3;BRUGPAACNOR8;CASH;;;17,55;;;;90;26100
2020-06-26;UGPA3F;BRUGPAACNOR8;ODD LOT;;;17,54;;;;3;97
