RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2020-07-22;GFSA3;BRGFSAACNOR3;GFSA;9728016;6,0248032;1;58609382,04
2020-07-22;GGBR3;BRGGBRACNOR1;GGBR;281790;12,8401273;1;3618219,48
2020-07-22;GGBR4;BRGGBRACNPR8;GGBR;47355646;15,6567419;1;741435129,02
2020-07-22;GNDI3;BRGNDIACNOR2;GNDI;3816914;62,0771884;1;236943289,57
2020-07-22;GOAU3;BRGOAUACNOR1;GOAU;89090;5,9488409;1;529982,24
2020-07-22;GOAU4;BRGOAUACNPR8;GOAU;39848781;7,055257;1;281143394,08
2020-07-22;GOGL34;BRGOGLBDR001;GOGL;160;324,14;1;51862,4
2020-07-22;GOLL4;BRGOLLACNPR4;GOLL;11631211;20,3563039;1;236768466,71
2020-07-22;GOVE11;BRGOVECTF004;GOVE;101;44,0262376;1;4446,65
2020-07-22;GPCP3;BRGPCPACNOR4;GPCP;3041;45,2756264;1;137683,18
2020-07-22;GPIV33;BRGPIVBDR003;GPIV;28032;4,852303;1;136019,76
2020-07-22;GRND3;BRGRNDACNOR3;GRND;7490233;7,6479731;1;57285100,95
2020-07-22;GSHP3;BRGSHPACNOR7;GSHP;3140;51,0105445;1;160173,11
2020-07-22;GUAR3;BRGUARACNOR4;GUAR;4137576;17,5645135;1;72674509,56
2020-07-22;HAGA4;BRHAGAACNPR4;HAGA;27787;2,1206906;1;58927,63
2020-07-22;HAPV3;BRHAPVACNOR4;HAPV;6242516;60,6701834;1;378734590,9
2020-07-22;HBOR3;BRHBORACNOR3;HBOR;16174967;2,9196004;1;47224441,68
2020-07-22;HETA4;BRHETAACNPR9;HETA;95;9,07;1;861,65
2020-07-22;HGTX3;BRHGTXACNOR9;HGTX;9415787;15,2614172;1;143698253,7
2020-07-22;HYPE3;BRHYPEACNOR0;HYPE;6183703;32,9903741;1;204002675,38
2020-07-22;IDVL3;BRIDVLACNOR5;IDVL;3800;3,0687052;1;11661,08
2020-07-22;IDVL4;BRIDVLACNPR2;IDVL;68;3,4541176;1;234,88
2020-07-22;IGBR3;BRIGBRACNOR7;IGBR;100;2,73;1;273
2020-07-22;IGTA3;BRIGTAACNOR5;IGTA;7528846;35,5021327;1;267290090,48
2020-07-22;INEP4;BRINEPACNPR8;INEP;1012;6,4490513;1;6526,44
2020-07-22;IRBR3;BRIRBRACNOR4;IRBR;78585879;9,415202;1;739901926,92
2020-07-22;ISUS11;BRISUSCTF003;ISUS;134;36,7454477;1;4923,89
2020-07-22;ITSA3;BRITSAACNOR0;ITSA;1618608;11,3532245;1;18376420,07
