RptDt;TckrSymb;ISIN;Asst;QtyCtrctsDay;QtyShrDay;ValCtrctsDay;DnrMinRate;DnrAvrgRate;DnrMaxRate;TakrMinRate;TakrAvrgRate;TakrMaxRate
2020-08-06;DTEX3;BRDTEXACNOR3;DTEX;33;1402707;22667745,12;0,1400%;0,2700%;0,3800%;0,3000%;0,4300%;0,9800%
2020-08-06;ECOR3;BRECORACNOR8;ECOR;39;903586;12623096,42;0,0900%;0,1500%;0,2700%;0,1500%;0,3000%;1,5000%
2020-08-06;EGIE3;BREGIEACNOR9;EGIE;77;433975;19793599,75;0,0400%;0,2300%;0,4000%;0,2000%;0,3400%;117,0800%
2020-08-06;ELET3;BRELETACNOR6;ELET;33;518942;19273505,88;0,0600%;0,1100%;0,1500%;0,1200%;0,2800%;1,5500%
2020-08-06;ELET6;BRELETACNPB7;ELET;79;1331247;51079947,39;0,0600%;0,1400%;1,0000%;0,1000%;0,2700%;2,2000%
2020-08-06;EMBR3;BREMBRACNOR4;EMBR;181;2069714;15543552,14;0,1000%;0,3400%;1,0000%;0,3000%;0,8000%;2,5000%
2020-08-06;ENAT3;BRENATACNOR0;ENAT;7;66706;746440,14;0,1000%;0,1500%;0,1500%;0,2000%;0,2100%;2,0000%
2020-08-06;ENBR3;BRENBRACNOR2;ENBR;43;1154710;20623120,6;0,0400%;0,0700%;0,1000%;0,0600%;0,1800%;0,7000%
2020-08-06;ENEV3;BRENEVACNOR8;ENEV;8;67878;3397293,9;0,1800%;0,3400%;0,4000%;0,3000%;0,4100%;1,9000%
2020-08-06;ENGI11;BRENGICDAM16;ENGI;10;5900;285029;0,2500%;0,3800%;0,4400%;0,5000%;1,1600%;1,5000%
2020-08-06;ENGI3;BRENGIACNOR0;ENGI;1;93;1280,61;3,5000%;3,5000%;3,5000%;5,0000%;5,0000%;5,0000%
2020-08-06;EQTL3;BREQTLACNOR0;EQTL;24;220216;5545038,88;0,0900%;0,1400%;0,2800%;0,1000%;0,4400%;1,5500%
2020-08-06;ETER3;BRETERACNOR3;ETER;3;2650;12693,5;0,0500%;0,1100%;0,4600%;0,1500%;0,2300%;1,5000%
2020-08-06;EUCA3;BREUCAACNOR1;EUCA;1;10;240;2,0000%;2,0000%;2,0000%;3,4000%;3,4000%;3,4000%
2020-08-06;EUCA4;BREUCAACNPR8;EUCA;1;626;4037,7;1,4900%;1,4900%;1,4900%;2,4900%;2,4900%;2,4900%
2020-08-06;EVEN3;BREVENACNOR8;EVEN;23;818400;11588544;0,2900%;0,5500%;0,6900%;0,5600%;0,7100%;1,9000%
2020-08-06;EZTC3;BREZTCACNOR0;EZTC;68;259287;10306658,25;0,0500%;0,1200%;0,2400%;0,1000%;0,1600%;0,9000%
2020-08-06;FBOK34;BRFBOKBDR006;FBOK;1;10;6636,5;3,5000%;3,5000%;3,5000%;6,0000%;6,0000%;6,0000%
2020-08-06;FESA4;BRFESAACNPR5;FESA;3;32400;578664;0,1800%;0,1900%;0,3500%;0,2200%;0,2300%;0,4000%
2020-08-06;FHER3;BRFHERACNOR5;FHER;2;10689;30891,21;1,0500%;1,0600%;1,2000%;1,5500%;1,5900%;2,1500%
2020-08-06;FLRY3;BRFLRYACNOR5;FLRY;154;1241171;32692444,14;0,0800%;0,2100%;0,3700%;0,1900%;0,2900%;1,1600%
2020-08-06;FRAS3;BRFRASACNOR0;FRAS;3;4569;24901,05;0,6600%;0,7200%;0,7800%;1,1100%;1,1800%;1,2000%
